product_id,product_category_name,product_name_lenght,product_description_lenght,product_photos_qty,product_weight_g,product_length_cm,product_height_cm,product_width_cm
f9aa001a859b11fd798bb386f3d07eb0,Pet_Shop,54,802,17,9000,33,30,44
26f4f1d683f32cfce93292cc626d5eea,Pet_Shop,53,823,17,1150,21,17,30
7f38cf4e517ec6bb1d31c4e6b6df18ef,Pet_Shop,56,834,17,2000,33,30,44
f838e96e79703e5e94c13c86609530c5,Perfumaria,53,957,14,1800,27,18,32
b4f435100a515fb999f800065c3424a2,Pet_Shop,55,833,14,7300,33,30,44
6fdfdddfa3c98723386e5fab78e87be3,Fashion_Bolsas_E_Acessorios,60,487,14,700,20,10,20
a2fc36d2592ba9adb49ad73dd039e434,Eletroportateis,59,2916,14,1500,24,8,24
f95d5d21561ea085ba1e1a4e53840844,Brinquedos,62,679,20,8900,32,49,34
28763a4fd1b597a9c4f31a9579e7d1b4,Pet_Shop,53,823,17,1150,21,17,30
801f0a5ea1ac28df44d65195cf4e2620,Pet_Shop,56,834,17,7300,33,30,44
6cc58e27cae22a37b784841f0e4fb647,Fashion_Bolsas_E_Acessorios,44,466,14,600,20,10,20
e9880042522806f124fdd4f8c8514d0d,Pet_Shop,54,830,18,2600,33,30,44
234495ab7809d4517bc1330c439da1bb,Bebes,63,659,19,8900,32,49,34
5948868c402a614a2dd3b90ebb06a253,Pet_Shop,53,795,17,1100,21,17,30
b085d8c8840e8dd3d6ccdf3d86c6145e,Pet_Shop,53,823,17,1050,21,17,30
b659034bc6cfc3d9baeda101c0c281fe,Pet_Shop,54,802,18,9500,33,30,44
7dcc2e60786a27f4a3115fdf666b81fe,Fashion_Bolsas_E_Acessorios,60,487,15,500,20,10,20
0eb5e2c967974b4a88f060ae6610788e,Pet_Shop,56,839,15,1600,33,30,44
0366dd798c6de7ec8d16c23de6a82cfd,Pet_Shop,53,830,15,3500,39,20,46
69ae89e3948c9332822d27357a23b014,Fashion_Bolsas_E_Acessorios,44,466,15,800,20,10,20
d442e913f0c7f40f97261d76f4e943ef,Moveis_Decoracao,45,721,15,23100,47,74,47
