order_id,order_item_id,product_id,seller_id,shipping_limit_date,price,freight_value,total_price,customer_id,order_status,order_purchase_timestamp,order_approved_at,order_delivered_carrier_date,order_delivered_customer_date,order_estimated_delivery_date,delivery_days,delivery_delay,order_month,payment_sequential,payment_type,payment_installments,payment_value,Date
3c404e64aaee40b3b597aafff9795b4a,1,17455fdde89549b744a53cffa8eb67f9,fec6912baad85d41729669edd6b4d3b8,55:28.0,210,51.97,261.97,372ce05cb86e4dcf20c8493ad417ebbc,processing,44:27.0,55:28.0,NULL,NULL,21-05-2018,NULL,NULL,00:00.0,2,debit_card,1,261.97,13-04-2018
fb265b2dc558a56445dfc48f8224e201,1,baf25ed4f8f70238cc87230379471454,128f9bfbe4c7d5185033914b1de3d39a,35:15.0,9.9,121.22,131.12,910f716e941709375465b7d3ff059d4f,canceled,21:14.0,35:15.0,NULL,NULL,08-11-2017,NULL,NULL,00:00.0,2,voucher,1,22.52,10-10-2017
1046c724dec8bc31545703d07c378073,1,389c7d7f59a980be2afbe84d648cd80f,e3e15e2c0b9700561efac21c6be48066,44:03.0,23.99,7.43,31.42,8f9a7227b5626fdf0b401e8832446f84,canceled,27:55.0,44:03.0,NULL,NULL,30-07-2018,NULL,NULL,00:00.0,2,voucher,1,25,14-07-2018
250eede6202cff2981de57cba5c1b08c,1,e5433d154f98bcb2c139b9679fce0814,d12c926d74ceff0a90a21184466ce161,15:10.0,48.9,14.52,63.42,5fa79cd49a071595d0f050b3f17f7368,invoiced,07:47.0,15:10.0,NULL,NULL,02-05-2017,NULL,NULL,00:00.0,2,voucher,1,25,05-04-2017
304137040eac6e7582eb945e3f347120,1,0a57f7d2c983bcf8188589a5fea4a8da,4342d4b2ba6b161468c63a7e7cfce593,27:46.0,129.9,14.66,144.56,3384115feb88ac6ec6294086d0345836,processing,18:07.0,27:46.0,NULL,NULL,05-02-2018,NULL,NULL,00:00.0,2,voucher,1,135.46,05-01-2018
315f7759c3f6557f50e47798ccd673a3,1,d2085f7e0f9533605386960fc7e987ec,aac29b1b99776be73c3049939652091d,11:08.0,12.49,15.1,27.59,54e217beb4b07ffdebc14c428e3f240d,invoiced,18:00.0,11:08.0,NULL,NULL,08-02-2018,NULL,NULL,00:00.0,2,voucher,1,9.23,13-01-2018
60f0f4f310904e1d0c7d41224fcb45d6,1,8c8cb3d0f2853c44cbf9561c7d93beaa,ef506c96320abeedfb894c34db06f478,10:16.0,15.99,14.1,30.09,75c822ccf568d44bb0a6066731ef9baf,canceled,56:11.0,10:16.0,NULL,NULL,30-08-2017,NULL,NULL,00:00.0,2,voucher,1,14.85,02-08-2017
83e6338b5cf25dcf222551cb8da8d0d6,1,122bedead6e7541d311e6e0ab3cf248f,961dff0a659b4561334372337dd897d9,04:56.0,2649,43.82,2692.82,3690e975641f01bd07ad635f03dbb894,canceled,32:48.0,04:56.0,NULL,NULL,14-09-2017,NULL,NULL,00:00.0,2,voucher,1,250,16-08-2017
847e04c1fabd29748790e74c1430c603,1,662eb743b41155e398e7fdd5d4cf5a3a,620c87c171fb2a6dd6e8bb4dec959fc6,25:19.0,39.9,9.21,49.11,456689adc192943c460cdefd37b4ccfb,canceled,05:00.0,25:19.0,NULL,NULL,13-08-2018,NULL,NULL,00:00.0,2,voucher,1,45.34,06-08-2018
97abc984480b7b063adb9e32e8bdbcde,1,4c19782230ac2c3708497b730b02abe7,34aefe746cd81b7f3b23253ea28bef39,10:13.0,8,14.52,22.52,20900bb42895ecd757d8ca51ac95140d,processing,00:07.0,10:13.0,NULL,NULL,13-06-2017,NULL,NULL,00:00.0,2,voucher,1,5.1,05-05-2017
b5a5f8ac4bb761fbe9b16518c8107543,1,52f5d8b502df3f20b2aa6370d2cedd52,e8b3a3a38279a82f0e5d006d5e5b7d2c,06:42.0,69.9,18.06,87.96,da13ef53fdf32f2f00c598010e003e87,invoiced,39:06.0,06:42.0,NULL,NULL,03-01-2018,NULL,NULL,00:00.0,2,voucher,1,83.91,28-11-2017
b5d4eb6b98c48a1d20e7a7663881bdd0,1,6bd248f93425ceeb625a8a97e2404112,dbc22125167c298ef99da25668e1011f,07:19.0,59.9,14.15,74.05,f381ff44c4fc5bd43c38116f3bd715b6,canceled,54:55.0,07:19.0,NULL,NULL,30-10-2017,NULL,NULL,00:00.0,2,voucher,1,30,06-10-2017
c08dd05931abd8cb08aad3d31e39bfed,1,c8e327c0df61bc66cdcf76a588c80154,cfa5ab0e4d3fc212fd0b3410e7081c62,28:50.0,1399.99,23.53,1423.52,1ecb47d23dc8203cd101549966ee942b,canceled,16:43.0,28:50.0,NULL,NULL,21-03-2018,NULL,NULL,00:00.0,2,voucher,1,1220.45,22-02-2018
ca7d7c95b0f170aae8a2ee59e2f24f66,1,0c21c38f5c53913ec6ae3884484aac81,15aec03fe4cf30dfa574cf550f5ff5ff,09:42.0,28.9,10.96,39.86,021e3ddcc0581de5bf087b1d87e4b136,processing,09:42.0,23:37.0,NULL,NULL,10-03-2017,NULL,NULL,00:00.0,2,voucher,1,3.02,09-02-2017
e20f1823b7c3cea563148b3d9864132f,1,2804f6c4f96a5c917461534b63faf357,fa18c782a4866d313cadab567097f8f1,25:13.0,58.99,19.65,78.64,867375159eb6b26b2c4215966b2206a1,canceled,17:00.0,25:13.0,NULL,NULL,12-06-2017,NULL,NULL,00:00.0,2,voucher,1,61.98,16-05-2017
eb0393138e2e8b7164947608489f069e,1,e1c3325750402ab195a7759f01efa494,eddd1991bd6d9309995a480c39b95137,49:22.0,265,60.86,325.86,63ed9bdb2f48c68e2449033b2f9a1f9d,canceled,31:53.0,49:22.0,NULL,NULL,07-11-2017,NULL,NULL,00:00.0,2,voucher,1,100,07-10-2017
02ec4da9d03014f06d711d60eb37cc22,1,a87567bdce60de6f901e3d7c6d8df820,318f287a62ab7ac10b703ac37435a231,05:49.0,85,20.08,105.08,79e6d859cf83e9bf76a07629ca91a49c,shipped,32:56.0,05:49.0,12:57.0,NULL,24-05-2017,NULL,NULL,00:00.0,2,voucher,1,75.97,28-04-2017
